clip,side,raw_a_jitter,sm_a_jitter,raw_b_jitter,sm_b_jitter,raw_c_jitter,sm_c_jitter,n_raw_detected,n_sm_output,n_fallback
149262639700760337...,left,2.1365321876820197e-05,7.6165742984116595e-06,0.015533650590535204,0.0052027214060921334,2.7983088448459497,0.7168169296928872,20,20,0
149262639700760337...,right,4.827720866775183e-05,1.451112189633864e-05,0.033797870958710584,0.010319807783735261,5.455610523068326,1.3259508427786122,20,20,0
149262661787353306...,left,3.823913105755972e-05,9.311418506447436e-06,0.022492963550423937,0.005447142588979909,4.067855428866807,0.8044102047925665,20,20,0
149262661787353306...,right,6.345387216770245e-06,1.773194612704947e-06,0.0036101049037136172,0.0008721501943182814,3.052571375405333,0.622238424832026,20,20,0
149262676078844324...,left,7.500371631301442e-06,2.045004808034627e-06,0.006613011906248724,0.001718891535222219,3.171065689669827,0.572144361593841,20,20,0
149262676078844324...,right,0.0002607980058837012,4.94320337158481e-05,0.16834314909483294,0.03139418055329118,25.491118476728527,4.6949053596178745,20,20,0
149262717153835634...,left,6.893043934731343e-05,1.8871335068465635e-05,0.05101508655663378,0.014868882624424963,4.809818056028767,1.4543875746882866,20,20,0
149262717153835634...,right,4.7942509544622204e-05,1.18932094269205e-05,0.03340029180532225,0.008351616606025025,6.809869262765973,1.9069694863090394,20,20,0
149262728846712844...,left,6.14264188056817e-05,1.9610025150179577e-05,0.04558999480433766,0.014891332080581243,7.5428524473648695,2.4584737292519097,20,20,0
149262728846712844...,right,8.707837380910244e-05,3.6239317712134145e-05,0.05170059604580261,0.02165659571353662,6.248686460515763,2.3918280693005274,20,20,0
